id,starts_at,name,url,description_short,description_html,organization,categories,tickets_limit,moderation_status
3595503,01.11.2025 11:00,Нейрозавтрак ,https://shvedkov.timepad.ru/event/3595503/,"Научитесь делегировать ИИ 70% рутинных задач и работать в 3 раза быстрее. За 2 часа получите готовые промты, чек-лист из 50+ задач для автоматизации и персональный план внедрения в вашей нише.","<p>Пока вы читаете это, ваши конкуренты уже автоматизировали половину своих задач через ИИ и работают в разы эффективнее.</p>

<p><strong>Проблема:</strong> Большинство предпринимателей и экспертов до сих пор делают руками то, что нейросети могут выполнить за минуты. Результат — вы работаете больше, а зарабатываете меньше тех, кто освоил ИИ.</p>

<p><strong>Решение:</strong> Нейрозавтрак — это практический интенсив, где за 2 часа вы получите готовую систему внедрения нейросетей в свою работу.</p>

<p><strong>Что получите:</strong></p>

<ul>
	<li>Чек-лист из 50+ задач, которые можно делегировать ИИ прямо сегодня</li>
	<li>Готовые промты для создания продающего контента</li>
	<li>Схему генерации визуала без дизайнера через Midjourney</li>
	<li>Технологию ИИ-монтажа: от идеи до готового видео за 5 минут</li>
	<li>Настройку автоматизации через чат-боты</li>
	<li>Персональный план внедрения для вашей ниши</li>
	<li>Контакты единомышленников и нетворкинг</li>
</ul>

<p><strong>Формат:</strong> Живое общение за завтраком в уютном кафе. Никакой теории — только практические инструменты, которые начнете применять в тот же день.</p>

<p><strong>Для кого:</strong> Предпринимателей, экспертов, фрилансеров, SMM-специалистов, владельцев онлайн-школ — всех, кто хочет работать быстрее и эффективнее.</p>

<p><strong>О спикере:</strong> Илья Шведков — эксперт по нейросетям с 20+ летним IT-опытом. Создал 50+ автоворонок клиентам, которые принесли 90+ млн рублей. Снял 3000+ Reels, 9 из которых набрали 1+ млн просмотров. Автор 4 курсов по ИИ, обучил нейросетям более 500 специалистов.</p>

<p>Мест ограничено — всего 12 участников для максимально персонального подхода.<br />
<br />
Подписывайтесь на наш телеграм канал. В нем подробная <a href=""https://t.me/ShvedkovPro/"">инструкция про нейрозавтрак </a> </p>

<p><span style=""color:#c0392b;"">ВНИМАНИЕ!!!</span> Место и время проведения всегда актуально в тг канале   </p>
",Илья Шведков,Бизнес,0,featured
3643151,02.11.2025 15:00,Открытый семинар и нетворкинг!,https://biznes-kvartira-2025.timepad.ru/event/3643151/,,"<p><img alt="""" src=""https://ucare.timepad.ru/22512b4f-287b-4728-bcdb-8bf5e030fe90/-/preview/"" /><br />
 </p>
",Бизнес-Квартира,Бизнес,0,featured
3645808,03.11.2025 13:00,Бизнес-игра &quot;LikeGame&quot;,https://soobshchestvo-vsmysle.timepad.ru/event/3645808/,ИСКУССТВО ДОГОВАРИВАТЬСЯ: как слова превращаются в деньги,"<p>Вся наша жизнь — это череда взаимодействий с другими людьми.</p>

<p>Именно через них мы получаем ресурсы, признание, помощь и выгодные предложения.</p>

<p>Но они же могут стать источником потерь, упущенных возможностей и невыгодных сделок. Грань между успехом и провалом часто сводится к одному — умению вести переговоры и отстаивать свои интересы.</p>

<p>Эта бизнес-игра — не про пустую болтовню, а про то, как в безопасной и увлекательной среде отточить навык переговоров и научиться разрабатывать выигрышные стратегии.</p>

<p><strong>Ведущая:</strong> Наталья Степанова — методолог, ведущая бизнес игр и автор курсов и собственной обучающей игры. Провела более 100 тренингов.</p>

<p> </p>

<p><strong>В ходе игры мы на практике разберем ключевые приемы:</strong></p>

<p>● <strong> «Мне нужно подумать»: </strong>как работать с самыми частыми возражениями и не давать уводить разговор в сторону</p>

<p>● <strong> Психология влияния:</strong> какие простые приёмы заставляют собеседника с вами согласиться, даже если он изначально был настроен скептически</p>

<p>●  <strong>Красные флаги:</strong> как распознать манипулятора и невыгодную сделку с первых минут разговора</p>

<p>●  <strong>Стратегия win-win:</strong> как договориться так, чтобы в выигрыше остались все, а вы — чуть больше других</p>

<p><em>Приходите, чтобы в формате увлекательной игры научиться выходить победителем из любой сделки.</em></p>

<p> </p>

<p>Как найти место проведения: <a href=""https://vsmysle.spb.ru/contacts/"">Контакты</a></p>

<p>Ресурсы Сообщества ВСмысле: <a href=""https://vsmysle.spb.ru/"" target=""_blank"" rel=""noreferrer noopener"">сайт</a>, <a href=""http://t.me/vsmysle_spb"" target=""_blank"" rel=""noreferrer noopener"">Telegram-канал</a></p>
",Сообщество ВСмысле,Бизнес,8,featured
3219114,02.11.2025 07:00,"Ржев, Торжок, Старицкие пещеры и многое другое. Путешествие и приключения (3 дня/2 ночи)",https://byuro-avtorskih-ekskursiy.timepad.ru/event/3219114/,"Мы представляем Вам нестандартную программу по одному из районов Тверской области. Наше путешествие наполнено сюрпризами, посещением труднодоступных и редко посещаемых мест, где таятся настоящие шедевры архитектурные и исторические. Это целая палитра разнообразных впечатлений: древняя история, больше похожая на легенды, живописные волжские виды, природные памятники и дегустация местных блюд.
","<p><img alt="""" src=""https://ucare.timepad.ru/4ec892b2-1a43-4e33-8814-b06e04a8d5b7/-/preview/"" /><br />
<strong>Начало: </strong>07:00 Московский пр., 189 (ст. м. ""Московская"")<br />
<strong>Окончание: </strong>23:00 ст. м. ""Московская""<br />
<strong>Формат: </strong>мини-группа</p>

<p><strong>В программе: </strong>Прутня (последний приют Анны Керн) - Валунный мост в Василево - Пирамида в Митино - Торжок (Новоторжский кремль, Борисоглебский монастырь над Тверцой, Торговые ряды и золотошвеи, шедевры Николая Львова, Пешеходный мост, Тверецкая набережная, Почтовая лестница, Путевой дворец Екатерины II, гостиница Пожарских, Ильинский храм) - Тверь (вечерняя прогулка по центру: от памятника Михаилу Тверскому до Путевого дворца Екатерины Великой) - древний храм в Иванишах и сосна (300 летний памятник природы) - усадьба Чукавино (великолепный образец XVIII века) - Белокаменная Старица (древнее городище и вид на Волгу, кузницы, купеческие дома,  Свято-Успенский монастырь, Старицкие пещеры) - Красное (Розовый храм) - Ржев (мемориал советскому солдату, изба-музей Сталина, Соборная гора, храм Оковецкой иконы Божьей Матери, местные старообрядцы ""тогда"" и ""сейчас"", ""Чертов дом"", Мазуринский приют, Дуб Сеславина)</p>

<hr />
<p><strong>Программа:<br />
1 день. Торжок - Прутня.</strong></p>

<p><strong>06:45 - 07:00</strong> встреча группы ст. м. ""Московская"" (Московский пр., 189).<br />
<strong>Переезд в Торжок по скоростной дороге с бытовой остановкой.</strong><br />
<strong>Экскурсия ""История Петербургская, Новгородская и Тверская"". </strong>Во время путешествия из Петербурга мы поговорим об важных исторических событиях, объединяющих наши земли.</p>

<p><strong>Прибытие в Торжок. Обед. </strong>Знакомство с Тверской областью мы начнем с древнего Торжка, известного помимо своих храмов и монастырей и гастрономическим изыском – пожарскими котлетами, которые мы отведаем в Торжке во время обеда.</p>

<p><strong>Прутня. Могила Анны Петровны Керн.</strong> Мы проедем по местам, связанными с именем А. С. Пушкина. В Прутне, под Торжком, сделаем остановку у небольшой церквушки, под стенами которой похоронена муза поэта. Именно ей были посвящены строки «Я помню чудное мгновенье…».</p>

<p><strong>Валунный мост в Василёво и ""Пирамида"" в Митино.</strong> Две усадьбы у реки Тверцы связаны с именем архитектора Львова. Мы увидим одну из самых его оригинальных построек - валунный мост и посмотрим на территорию бывшей усадьбы Митино, где располагается укрытая Пирамида. </p>

<p><strong>Прогулка по Торжку с осмотром Борисоглебского монастыря. </strong>Торжок также известен благодаря постройкам Николая Львова, создавшим в центре Торжка ансамбль Борисоглебского монастыря, чья архитектура оказала большое влияние на творения зодчих в округе, в том числе и в Старице. С обителью связана очень древняя история гибели князей и оруженосца Георгия. Познакомившись с монастырем, посмотрим на валы Кремля, узнаем, почему местных жителей назвали ""новоторами"", вспомним легенду о Иулиании Вяземской, прогуляемся вдоль торговых рядов. Оценим ""хромую"" лестницу. Полюбуемся видами города и Тверецкой набережной с подвесного моста XIX века. Осмотрим комплекс Путевого дворца Екатерины Великой и гостиницы Пожарских. Исследуем старинные дома и дворы. </p>

<p><strong>Переезд в Тверь. Остановка у продуктового магазина. <br />
Небольшая вечерняя прогулка по центру города. </strong>В завершении нашего путешествия мы прогуляемся от скульптуры Михаила Тверского до Путевого дворца Екатерины. Во время этого небольшого путешествия успеем поговорить о истории этой земли, начиная с легендарного князя, о проектировке и застройке города, увидеть самые известные, знаковые месте Твери и полюбоваться роскошным дворцом императрицы!</p>

<p><strong>Размещение в гостинице.<br />
Свободное время. </strong></p>

<hr />
<p><strong>2 день. Старицкий тракт - храм в Иванишах и тайна Василия III - необыкновенная сосна - усадьба Чукавино - Белокаменная Старица - древнее городище и вид на Волгу - Старинный Свято-Успенский монастырь - белокаменные кузницы - собор Бориса и Глеба - дом Филипповых - место съемок фильма ""Чучело"" - Красное - музей Пекарского дела - ужин-дегустация.</strong></p>

<p><strong>Завтрак в гостинице. Сдача номеров.</strong></p>

<p><strong>Переезд в Старицу</strong> по древнему <strong>Старицкому тракту</strong>. По дороге нас ждет старинный <strong>храм в Иванишах</strong>, хранящий древнюю историю жены царя Василия III и необычную легенду о змее. Еще одно чудо - <strong>необычная сосна</strong> с изыскано-красивой, необычной формой кроны, является памятником природы. Старожилы уверяют, что ей уже 300 лет!</p>

<p>В предместьях Старицы сохранилось несколько старинных усадеб. Одну из них – <strong>Чукавино</strong>, мы с вами посетим. По преданию, Александр Сергеевич Пушкин однажды ночевал там, на диване из карельской березы! Здесь сохранился целый комплекс старинных построек, очень интересно спроектированных. Поражает величественная <strong>церковь Владимирской иконы Божией Матери</strong>, сложенная в стиле роскошного нарышкинского барокко. </p>

<p><strong>Прибытие в Старицу.  Экскурсия по городу ""Старица купеческая и Старица Белокаменная"". </strong>Красоту этого места ощущаешь сразу, как только выходишь к берегу Волги, где было древнее поселение. Мы осмотрим собор Бориса и Глеба, колокольню, храм Параскевы Пятницы и многочисленные <strong>купеческие дома, </strong>с деревянной резьбой. Среди прочих особое место занимает <strong>дом Филипповых, </strong>где тоже бывал Пушкин и жила очаровательная барышня, ставшая прототипом героини повести ""Капитанская дочка"". Полюбовавшись старым центром, пройдем мимо <strong>белокаменных кузниц </strong>и побываем в местах, где Ролан Быков снимал <strong>фильм «Чучело»</strong>. Старица очаровывает своими узкими улочками и неторопливым ритмом жизни.</p>

<p>Сердце города  – это <strong>Успенский монастырь.</strong> Мы узнаем трагическую историю Старицких, строивших главные здания обители и посетим бывшую могилу патриарха Иова, зайдем в Успенский собор, а также в самую необычную церковь – <strong>храм-усыпальницу рода Тутолминых</strong>. Чем необычен этот храм? Поехали, увидите!</p>

<p><strong>Село Красное.</strong> Сюда мы отправимся чтобы посмотреть на удивительный храм Преображения Господня. Его проект заказал местный помещик - Полторацкий. Для жителей Петербурга это будет еще одно открытие в Тверской земле. </p>

<p><strong>Обед для желающих.</strong> <br />
<strong>Свободное время для посещения музея Пекарского дела.</strong> Небольшой но очень интересный музей создан в Старице на основе различных приспособлений, связанных с выпеканием хлеба, пряников, пирогов. Любопытно, что именно здесь Вы можете увидеть редкие экземпляры доставленные из-за границы или вывезенные из старинных домов в Санкт-Петербурге. Благодаря создателям музея, они не исчезли, а приведены в порядок и занимают достойное место в экспозиции. </p>

<p><strong>Посещение Старицких пещер (каменоломней) в сопровождении профессионального проводника. </strong><br />
Почему Старицу называли белокаменная? Здания в городе издревле отделывали белым известняком, добываемым тут же. Нас ждет увлекательная <strong>экскурсия по Старицким пещерам.<br />
Внимание! С собой необходимо иметь фонарик и спортивную, удобную одежду и обувь.<br />
Спуск к пещере проходит по крутому склону. Проводник помогает спуститься вниз, но если Вы решите, что этот спуск для Вас слишком сложный, Вы можете вместо пещеры погулять по центру города. </strong></p>

<p><strong>Остановка возле мемориала советскому солдату в Ржеве. </strong><br />
Мы специально заедем сюда в темное время, чтобы увидеть мемориал с подсветкой. Очень эффектно выглядит светлая фигура солдата на фоне темного неба в окружении красно-кирпичных откосов. Мы уверены, что этот образ надолго останется с Вами.</p>

<p><strong>Переезд в Зубцов.<br />
21:30 - 22:00 </strong>позднее размещение в гостинице. </p>

<hr />
<p><img alt="""" src=""https://ucare.timepad.ru/4c3e8462-fc13-4353-9c6d-7aaeed7e7108/-/preview/"" /><br />
<br />
<strong>3 день. Зубцов - слияние Волги и Вазузы - купеческий Ржев - Соборная горка - Волга - купеческие дома - ""Чертов дом"" - Мазуринский приют - Дом Сталина - Ржевский мемориал.</strong></p>

<p><strong>Завтрак в гостинице.</strong></p>

<p><strong>Небольшая экскурсия по Зубцову. </strong>Крохотный городок расположился на месте слияния Волги и Вазузы. Именно там стояла древняя крепость, а теперь возвышается храм, переживший войну. К нему ведет подвесной мост. Проезжая через центр, мы увидим самый красивый особняк в городе и поднимемся на высокую смотровую площадку, рядом с которой расположено воинское захоронение. </p>

<p><strong>Переезд во Ржев. Экскурсия по городу ""Ржев старинный, Ржев купеческий, Ржев военный""</strong><br />
Знакомство с городом мы начнем с <strong>соборной горки</strong>, откуда открывается потрясающий вид на обе части города. Оттуда отправимся в центр, увидим памятник почетному гражданину Ржева – Тертию Филиппову, дом купца Мясникова, а у Мазуринского приюта познакомимся с детективной историей, произошедшей во  Ржеве в конце XIX века. В завершении прогулки посетим староверческую церковь, в которой в годы ВОВ чудом спаслись мирные жители Ржева.</p>

<p>​Из уютного дореволюционного прошлого, мы окунемся с вами в век двадцатый. Всё в Ржеве напоминает о событиях ВОВ. Операция по освобождению Ржева долгие годы была засекреченной. Что происходило подо Ржевом узнаем, посетив <strong>Ржевский мемориал </strong>при свете дня. <br />
Мы сделаем небольшую остановку у<strong> Дома Сталина.</strong> Мало кто знает, что в годы войны Сталин только один раз покидал Москву. Теперь в небольшом доме, на окраине Ржева создан музей. </p>

<p><strong>Свободное время в центре города. </strong>Вы сможете прогуляться по центральной улице, выйти на берег Волги, посетить небольшую очаровательную кофейню, заглянуть в переулки где сохраняется очень много старинных домов. <br />
<strong>Желающие могут приобрести местную льняную продукцию.</strong> Тверской области удалось сохранить льняные поля. Сегодня именно здесь находится главный научно-исследовательский институт льна. Почти в каждом городе есть свои фирменные магазины, предлагающие очень качественную продукцию.</p>

<p><strong>Обед для желающих. <br />
Возвращение в Санкт-Петербург. </strong></p>

<p><strong>23:00</strong> ориентировочное время возвращения к ст. м. ""Московская"".</p>

<p><strong>В стоимость включено: </strong><br />
— транспортное обслуживание по программе;<br />
— экскурсия в сопровождении автора;<br />
— экскурсия по Старице с посещением Успенского монастыря;<br />
— экскурсия по Ржеву;<br />
— экскурсия в Старицкие пещеры с проводником;<br />
— размещение в гостинице (место в двухместном номере) с завтраком.</p>

<p><strong>Дополнительно оплачивается:</strong><br />
— 3 обеда - 2050 руб.;<br />
— посещение Василёво - 250 руб./взр., 150 руб./льготн., бесплатно - дети до 16 лет;<br />
— пожертвование за посещение храма в Красном, Покровской церкви в Ржеве;<br />
— посещение и экскурсия в музее Пекарского дела - 350 руб.;<br />
— радиооборудование - 540 руб. (устройство спасает от посторонних шумов, позволяет отходить от гида до 150 м, фотографировать и все слышать!)<br />
Заказывается и оплачивается заранее, вместе с экскурсией.</p>

<hr />
<p><strong>Внимание!</strong><br />
Порядок посещения объектов может быть изменен по решению автора.<br />
Другие изменения в программе возможны только по объективным причинам, не зависящим от «Бюро авторских путешествий».</p>

<p><strong>Особенности формата: «Экспедиционные туры»</strong><br />
Это значит, что в программе будет посещение труднодоступных мест, проезд по не очень хорошим дорогам и право автора на внесение изменений во время проведения, под влиянием различных обстоятельств (например, дорожно-транспортная ситуация и т.п.). Также возможно посещение объектов, не заявленных в программе первоначально. Обещаем знакомство с множеством малоизвестных мест;)</p>

<hr />
<p><strong>Правила участия и оплата:</strong><br />
Количество мест ограничено.<br />
Все вопросы по телефонам: +7(931) 220-12-62, (812) 245-66-48, (812) 312-57-20 / с 11.00 до 18.00, кроме вс. WhatsApp 8(931)220-12-62</p>
",Бюро авторских путешествий,Экскурсии и путешествия,2,shown
3313946,01.11.2025 19:00,КОЛО ЧЕРНОБОГА: НЕВИДЬ+NOMANS LAND | 01.11.2025,https://sredilesie.timepad.ru/event/3313946/,"Легенды отечественного pagan metal возвращаются в Санкт-Петербург! Первое ноября. Клуб Ласточка, большой зал.","<p>Творческий коллектив ""Garage Incorporated"" представляет новую главу масштабного проекта ""Средилесье""! На этот раз концерт состоится в городе, в большом зале клуба ""Ласточка"". На сцену возвращается легендарная Невидь как с новым космическим материалом, так и со своей вечной ""классикой"" - атмосферной музыкой, пронзительной лирикой и порой суровым, северным настроением. Настало время разжечь пожар на изломе зимы!</p>
",ТК Garage Inc.,Концерты,0,featured
3386081,02.11.2025 12:00,"Детский шоу-спектакль «Мечты, меняющие мир», СПБ Дом Молодежи",https://shou-teatr-tipo-event.timepad.ru/event/3386081/,"Хотите, чтобы Ваш ребенок поверил в свои силы? Чтобы он нашел свое предназначение? Готовы подарить ему 100 минут радости и восторга? Тогда приходите всей семьей на наш волшебный спектакль!","<p><strong>Шоу ""Мечты, меняющие мир"" создано совместно с детскими психологами и преподавателями.</strong></p>

<p>В интерактивно-развлекательной форме спектакль поможет детям поверить в себя и исполнить свои самые сокровенные мечты. А Вы, родители, узнаете, как помочь ребенку раскрыть свой потенциал и помочь найти дело всей его жизни.</p>

<p>Шоу будет интересно и детям любого возраста, и взрослым!</p>

<p><img alt="""" src=""https://ucare.timepad.ru/aca01328-792c-4181-888b-7e2a016cd520/-/preview/"" /><strong>О чем наш спектакль?</strong></p>

<p>Шоу в формате увлекательной лекции с прямым включением погружает в мир выдающихся достижений. Артисты не только знакомят ребят со светилами науки, но и показывают, насколько захватывающим может быть мир знаний, а также раскрывают секрет исполнения мечты, так что каждый юный зритель почувствует себя причастным к происходящему в спектакле.</p>

<p><img alt="""" src=""https://ucare.timepad.ru/3582715b-c5ee-4b2d-a3ba-cf224d9c3455/-/preview/"" />Кроме того, ребята познакомятся с поразительными историями из жизни выдающихся людей. Героями историй станут Дэвид Копперфильд, Дмитрий Менделеев, Александр Суворов, Альберт Эйнштейн, Майя Плисецкая и другие. Ведь каждый из этих великих людей был когда-то обычным ребёнком, играл и мечтал, изучал мир. А потом сумел воплотить свои мечты в реальность! И детям, пришедшим на спектакль, покажут, что каждый из них самих обладает собственным уникальным талантом, который можно развивать до бесконечности. </p>

<p><img alt="""" src=""https://ucare.timepad.ru/a3722c19-f4ce-416e-95e5-eaa2c668bd6b/-/preview/"" /><strong>Шоу поможет детям поверить в себя и силу мечты. Понять, как важно мечтать и стремиться к исполнению своих желаний. И вдохновит ребят на большие свершения!</strong></p>

<p><img alt="""" src=""https://ucare.timepad.ru/41ec497d-37af-4012-bce2-961674f6eebc/-/preview/"" /><br />
<strong>Адрес: г. Санкт-Петербург, Новоизмайловский проспект, д. 48 (""Дом молодежи Санкт-Петербурга"")</strong><br />
<br />
<strong>Телефон: +7 (812) 213-13-23</strong></p>

<p>Читайте подробнее о нашем спектакле и заказывайте <a href="""">билеты на сайте</a></p>
",Театр Андрея Фартушного,Для детей,0,shown
3386629,02.11.2025 15:00,"Детский шоу-спектакль «Мечты, меняющие мир», СПБ Дом Молодежи",https://shou-teatr-tipo-event.timepad.ru/event/3386629/,"Хотите, чтобы Ваш ребенок поверил в свои силы? Чтобы он нашел свое предназначение? Готовы подарить ему 100 минут радости и восторга? Тогда приходите всей семьей на наш волшебный спектакль!","<p><strong>Шоу ""Мечты, меняющие мир"" создано совместно с детскими психологами и преподавателями.</strong></p>

<p>В интерактивно-развлекательной форме спектакль поможет детям поверить в себя и исполнить свои самые сокровенные мечты. А Вы, родители, узнаете, как помочь ребенку раскрыть свой потенциал и помочь найти дело всей его жизни.</p>

<p>Шоу будет интересно и детям любого возраста, и взрослым!</p>

<p><img alt="""" src=""https://ucare.timepad.ru/aca01328-792c-4181-888b-7e2a016cd520/-/preview/"" /><strong>О чем наш спектакль?</strong></p>

<p>Шоу в формате увлекательной лекции с прямым включением погружает в мир выдающихся достижений. Артисты не только знакомят ребят со светилами науки, но и показывают, насколько захватывающим может быть мир знаний, а также раскрывают секрет исполнения мечты, так что каждый юный зритель почувствует себя причастным к происходящему в спектакле.</p>

<p><img alt="""" src=""https://ucare.timepad.ru/3582715b-c5ee-4b2d-a3ba-cf224d9c3455/-/preview/"" />Кроме того, ребята познакомятся с поразительными историями из жизни выдающихся людей. Героями историй станут Дэвид Копперфильд, Дмитрий Менделеев, Александр Суворов, Альберт Эйнштейн, Майя Плисецкая и другие. Ведь каждый из этих великих людей был когда-то обычным ребёнком, играл и мечтал, изучал мир. А потом сумел воплотить свои мечты в реальность! И детям, пришедшим на спектакль, покажут, что каждый из них самих обладает собственным уникальным талантом, который можно развивать до бесконечности. </p>

<p><img alt="""" src=""https://ucare.timepad.ru/a3722c19-f4ce-416e-95e5-eaa2c668bd6b/-/preview/"" /><strong>Шоу поможет детям поверить в себя и силу мечты. Понять, как важно мечтать и стремиться к исполнению своих желаний. И вдохновит ребят на большие свершения!</strong></p>

<p><img alt="""" src=""https://ucare.timepad.ru/41ec497d-37af-4012-bce2-961674f6eebc/-/preview/"" /><br />
<strong>Адрес: г. Санкт-Петербург, Новоизмайловский проспект, д. 48 (""Дом молодежи Санкт-Петербурга"")</strong><br />
<br />
<strong>Телефон: +7 (812) 213-13-23</strong></p>

<p>Читайте подробнее о нашем спектакле и заказывайте <a href="""">билеты на сайте</a></p>
",Театр Андрея Фартушного,Для детей,0,shown
3386630,02.11.2025 18:00,"Детский шоу-спектакль «Мечты, меняющие мир», СПБ Дом Молодежи",https://shou-teatr-tipo-event.timepad.ru/event/3386630/,"Хотите, чтобы Ваш ребенок поверил в свои силы? Чтобы он нашел свое предназначение? Готовы подарить ему 100 минут радости и восторга? Тогда приходите всей семьей на наш волшебный спектакль!","<p><strong>Шоу ""Мечты, меняющие мир"" создано совместно с детскими психологами и преподавателями.</strong></p>

<p>В интерактивно-развлекательной форме спектакль поможет детям поверить в себя и исполнить свои самые сокровенные мечты. А Вы, родители, узнаете, как помочь ребенку раскрыть свой потенциал и помочь найти дело всей его жизни.</p>

<p>Шоу будет интересно и детям любого возраста, и взрослым!</p>

<p><img alt="""" src=""https://ucare.timepad.ru/aca01328-792c-4181-888b-7e2a016cd520/-/preview/"" /><strong>О чем наш спектакль?</strong></p>

<p>Шоу в формате увлекательной лекции с прямым включением погружает в мир выдающихся достижений. Артисты не только знакомят ребят со светилами науки, но и показывают, насколько захватывающим может быть мир знаний, а также раскрывают секрет исполнения мечты, так что каждый юный зритель почувствует себя причастным к происходящему в спектакле.</p>

<p><img alt="""" src=""https://ucare.timepad.ru/3582715b-c5ee-4b2d-a3ba-cf224d9c3455/-/preview/"" />Кроме того, ребята познакомятся с поразительными историями из жизни выдающихся людей. Героями историй станут Дэвид Копперфильд, Дмитрий Менделеев, Александр Суворов, Альберт Эйнштейн, Майя Плисецкая и другие. Ведь каждый из этих великих людей был когда-то обычным ребёнком, играл и мечтал, изучал мир. А потом сумел воплотить свои мечты в реальность! И детям, пришедшим на спектакль, покажут, что каждый из них самих обладает собственным уникальным талантом, который можно развивать до бесконечности. </p>

<p><img alt="""" src=""https://ucare.timepad.ru/a3722c19-f4ce-416e-95e5-eaa2c668bd6b/-/preview/"" /><strong>Шоу поможет детям поверить в себя и силу мечты. Понять, как важно мечтать и стремиться к исполнению своих желаний. И вдохновит ребят на большие свершения!</strong></p>

<p><img alt="""" src=""https://ucare.timepad.ru/41ec497d-37af-4012-bce2-961674f6eebc/-/preview/"" /><br />
<strong>Адрес: г. Санкт-Петербург, Новоизмайловский проспект, д. 48 (""Дом молодежи Санкт-Петербурга"")</strong><br />
<br />
<strong>Телефон: +7 (812) 213-13-23</strong></p>

<p>Читайте подробнее о нашем спектакле и заказывайте <a href="""">билеты на сайте</a></p>
",Театр Андрея Фартушного,Для детей,0,shown
3386631,03.11.2025 11:00,"Детский шоу-спектакль «Мечты, меняющие мир», СПБ Дом Молодежи",https://shou-teatr-tipo-event.timepad.ru/event/3386631/,"Хотите, чтобы Ваш ребенок поверил в свои силы? Чтобы он нашел свое предназначение? Готовы подарить ему 100 минут радости и восторга? Тогда приходите всей семьей на наш волшебный спектакль!","<p><strong>Шоу ""Мечты, меняющие мир"" создано совместно с детскими психологами и преподавателями.</strong></p>

<p>В интерактивно-развлекательной форме спектакль поможет детям поверить в себя и исполнить свои самые сокровенные мечты. А Вы, родители, узнаете, как помочь ребенку раскрыть свой потенциал и помочь найти дело всей его жизни.</p>

<p>Шоу будет интересно и детям любого возраста, и взрослым!</p>

<p><img alt="""" src=""https://ucare.timepad.ru/aca01328-792c-4181-888b-7e2a016cd520/-/preview/"" /><strong>О чем наш спектакль?</strong></p>

<p>Шоу в формате увлекательной лекции с прямым включением погружает в мир выдающихся достижений. Артисты не только знакомят ребят со светилами науки, но и показывают, насколько захватывающим может быть мир знаний, а также раскрывают секрет исполнения мечты, так что каждый юный зритель почувствует себя причастным к происходящему в спектакле.</p>

<p><img alt="""" src=""https://ucare.timepad.ru/3582715b-c5ee-4b2d-a3ba-cf224d9c3455/-/preview/"" />Кроме того, ребята познакомятся с поразительными историями из жизни выдающихся людей. Героями историй станут Дэвид Копперфильд, Дмитрий Менделеев, Александр Суворов, Альберт Эйнштейн, Майя Плисецкая и другие. Ведь каждый из этих великих людей был когда-то обычным ребёнком, играл и мечтал, изучал мир. А потом сумел воплотить свои мечты в реальность! И детям, пришедшим на спектакль, покажут, что каждый из них самих обладает собственным уникальным талантом, который можно развивать до бесконечности. </p>

<p><img alt="""" src=""https://ucare.timepad.ru/a3722c19-f4ce-416e-95e5-eaa2c668bd6b/-/preview/"" /><strong>Шоу поможет детям поверить в себя и силу мечты. Понять, как важно мечтать и стремиться к исполнению своих желаний. И вдохновит ребят на большие свершения!</strong></p>

<p><img alt="""" src=""https://ucare.timepad.ru/41ec497d-37af-4012-bce2-961674f6eebc/-/preview/"" /><br />
<strong>Адрес: г. Санкт-Петербург, Новоизмайловский проспект, д. 48 (""Дом молодежи Санкт-Петербурга"")</strong><br />
<br />
<strong>Телефон: +7 (812) 213-13-23</strong></p>

<p>Читайте подробнее о нашем спектакле и заказывайте <a href="""">билеты на сайте</a></p>
",Театр Андрея Фартушного,Для детей,0,shown
