id,title,starts_at,ends_at,categories,organization,city,price_min,price_max,url,created_at
3161657,,2025-11-12T17:30:00+0300,2025-11-12T19:00:00+0300,Бизнес,Движение Со-Действие,Санкт-Петербург,,,https://coopalliance.timepad.ru/event/3161657/,2024-12-13T13:08:02+0300
3161658,,2025-11-26T17:30:00+0300,2025-11-26T19:00:00+0300,Бизнес,Движение Со-Действие,Санкт-Петербург,,,https://coopalliance.timepad.ru/event/3161658/,2024-12-13T13:08:02+0300
3161734,,2025-11-05T17:30:00+0300,2025-11-05T19:00:00+0300,Бизнес,Движение Со-Действие,Санкт-Петербург,,,https://coopalliance.timepad.ru/event/3161734/,2024-12-13T13:46:13+0300
3161735,,2025-11-19T17:30:00+0300,2025-11-19T19:00:00+0300,Бизнес,Движение Со-Действие,Санкт-Петербург,,,https://coopalliance.timepad.ru/event/3161735/,2024-12-13T13:46:13+0300
3161769,,2025-11-14T10:15:00+0300,2025-11-14T12:15:00+0300,Бизнес,Движение Со-Действие,Санкт-Петербург,,,https://coopalliance.timepad.ru/event/3161769/,2024-12-13T13:54:47+0300
3161770,,2025-11-28T10:15:00+0300,2025-11-28T12:15:00+0300,Бизнес,Движение Со-Действие,Санкт-Петербург,,,https://coopalliance.timepad.ru/event/3161770/,2024-12-13T13:54:47+0300
3161814,,2025-11-07T10:15:00+0300,2025-11-07T11:45:00+0300,Бизнес,Движение Со-Действие,Санкт-Петербург,,,https://coopalliance.timepad.ru/event/3161814/,2024-12-13T14:09:39+0300
3161815,,2025-11-21T10:15:00+0300,2025-11-21T11:45:00+0300,Бизнес,Движение Со-Действие,Санкт-Петербург,,,https://coopalliance.timepad.ru/event/3161815/,2024-12-13T14:09:39+0300
3297104,,2025-11-05T10:00:00+0300,2025-11-05T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3297104/,2025-03-24T14:40:41+0300
3305028,,2025-11-05T10:00:00+0300,2025-11-07T16:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3305028/,2025-03-28T13:58:02+0300
3316042,,2025-11-06T10:00:00+0300,2025-11-07T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3316042/,2025-04-04T10:05:52+0300
3316066,,2025-11-10T10:00:00+0300,2025-11-11T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3316066/,2025-04-04T10:09:19+0300
3316622,,2025-11-13T10:00:00+0300,2025-11-14T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3316622/,2025-04-04T14:51:11+0300
3319058,,2025-11-20T10:00:00+0300,2025-11-21T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3319058/,2025-04-07T11:52:53+0300
3319399,,2025-11-17T10:00:00+0300,2025-11-18T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3319399/,2025-04-07T12:24:31+0300
3319644,,2025-11-17T10:00:00+0300,2025-11-18T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3319644/,2025-04-07T13:33:45+0300
3337380,,2025-11-10T10:00:00+0300,2025-11-11T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3337380/,2025-04-21T16:28:57+0300
3337385,,2025-11-12T10:00:00+0300,2025-11-12T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3337385/,2025-04-21T16:30:14+0300
3337462,,2025-11-20T10:00:00+0300,2025-11-21T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3337462/,2025-04-21T16:37:16+0300
3343423,,2025-11-20T10:00:00+0300,2025-11-21T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3343423/,2025-04-24T13:16:10+0300
3343707,,2025-11-13T10:00:00+0300,2025-11-14T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3343707/,2025-04-24T15:30:11+0300
3379344,,2025-11-20T10:30:00+0300,2025-11-20T15:00:00+0300,Бизнес,Технопарк Санкт-Петербурга ,Санкт-Петербург,,,https://ao-tehnopark-sankt-peterb.timepad.ru/event/3379344/,2025-05-21T11:50:19+0300
3404542,,2025-11-27T10:56:00+0300,2025-11-28T17:56:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3404542/,2025-06-04T19:13:04+0300
3404547,,2025-11-28T10:00:00+0300,2025-11-29T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3404547/,2025-06-04T19:21:16+0300
3413024,,2025-11-20T18:00:00+0300,2025-11-20T22:00:00+0300,Бизнес,МАГ,Санкт-Петербург,,,https://biznes-fokus.timepad.ru/event/3413024/,2025-06-10T09:55:24+0300
3423020,,2025-11-04T09:30:00+0300,2025-11-04T23:00:00+0300,Бизнес,ООО «ДЕЛАЙ ПРОСТО»,Санкт-Петербург,,,https://delay-prosto.timepad.ru/event/3423020/,2025-06-18T11:14:02+0300
3441171,,2025-11-24T10:00:00+0300,2025-11-25T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3441171/,2025-06-30T16:00:33+0300
3441206,,2025-11-19T18:00:00+0300,2025-11-19T21:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3441206/,2025-06-30T16:24:24+0300
3441237,,2025-11-26T10:00:00+0300,2025-11-26T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3441237/,2025-06-30T16:35:26+0300
3441301,,2025-11-24T10:00:00+0300,2025-11-25T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3441301/,2025-06-30T16:44:33+0300
3452325,,2025-11-12T10:00:00+0300,2025-11-14T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3452325/,2025-07-07T16:33:28+0300
3475379,,2025-11-17T10:00:00+0300,2025-11-18T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3475379/,2025-07-21T14:40:06+0300
3480958,,2025-11-06T10:00:00+0300,2025-11-07T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3480958/,2025-07-24T13:15:33+0300
3480991,,2025-11-06T10:00:00+0300,2025-11-07T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3480991/,2025-07-24T13:32:39+0300
3487805,,2025-11-19T10:00:00+0300,2025-11-19T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3487805/,2025-07-28T16:35:55+0300
3487840,,2025-11-08T10:00:00+0300,2025-11-09T18:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3487840/,2025-07-28T16:47:12+0300
3487848,,2025-11-24T10:00:00+0300,2025-11-25T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3487848/,2025-07-28T16:49:08+0300
3487881,,2025-11-27T10:00:00+0300,2025-11-28T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3487881/,2025-07-28T16:59:12+0300
3487939,,2025-11-10T10:00:00+0300,2025-11-11T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3487939/,2025-07-28T17:24:33+0300
3487994,,2025-11-12T10:00:00+0300,2025-11-12T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3487994/,2025-07-28T17:41:20+0300
3551819,,2025-11-21T10:00:00+0300,2025-11-23T18:00:00+0300,Бизнес,Школа бизнеса Clevent,Санкт-Петербург,,,https://cleventru.timepad.ru/event/3551819/,2025-08-29T05:56:33+0300
3554063,,2025-11-15T12:00:00+0300,2025-11-16T22:00:00+0300,Бизнес,Портал GEOMETRIA,Санкт-Петербург,,,https://geometria-spb.timepad.ru/event/3554063/,2025-08-31T00:34:39+0300
3554143,,2025-11-15T11:00:00+0300,2025-11-16T19:00:00+0300,Бизнес,Академия бизнеса &quot;УЦДПО Ресурс&quot;,Санкт-Петербург,,,https://academyresource.timepad.ru/event/3554143/,2025-08-31T11:35:34+0300
3562908,,2025-11-17T10:00:00+0300,2025-11-18T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3562908/,2025-09-04T13:51:22+0300
3562944,,2025-11-27T10:00:00+0300,2025-11-28T17:00:00+0300,Бизнес,Учебный Центр &quot;Будь в курсе&quot;,Санкт-Петербург,,,https://bvkurse.timepad.ru/event/3562944/,2025-09-04T14:09:36+0300
3575734,,2025-11-06T15:00:00+0300,2025-11-06T19:00:00+0300,Бизнес,Контроль Рисков,Санкт-Петербург,,,https://controlrisk.timepad.ru/event/3575734/,2025-09-12T16:25:03+0300
3581431,,2025-11-11T10:18:00+0300,2025-11-12T12:18:00+0300,Бизнес,ФРИО Медиа ,Санкт-Петербург,,,https://frio-media.timepad.ru/event/3581431/,2025-09-16T16:20:07+0300
3584614,,2025-11-21T10:03:00+0300,2025-11-21T12:03:00+0300,Бизнес,kurbatova,Санкт-Петербург,,,https://buvaethuge.timepad.ru/event/3584614/,2025-09-18T15:10:22+0300
3584687,,2025-11-10T18:00:00+0300,2025-11-10T21:00:00+0300,Бизнес,kurbatova,Санкт-Петербург,,,https://buvaethuge.timepad.ru/event/3584687/,2025-09-18T15:49:08+0300
3584688,,2025-11-24T18:00:00+0300,2025-11-24T21:00:00+0300,Бизнес,kurbatova,Санкт-Петербург,,,https://buvaethuge.timepad.ru/event/3584688/,2025-09-18T15:49:08+0300
3589684,,2025-11-14T10:00:00+0300,2025-11-14T17:30:00+0300,Бизнес,Российская консалтинговая группа «Стратегии устойчивого развития»,Санкт-Петербург,,,https://sdstrategy.timepad.ru/event/3589684/,2025-09-22T16:11:26+0300
3595503,,2025-11-01T11:00:00+0300,2025-11-01T13:00:00+0300,Бизнес,Илья Шведков,Санкт-Петербург,,,https://shvedkov.timepad.ru/event/3595503/,2025-09-25T17:01:45+0300
3595504,,2025-11-08T11:00:00+0300,2025-11-08T13:00:00+0300,Бизнес,Илья Шведков,Санкт-Петербург,,,https://shvedkov.timepad.ru/event/3595504/,2025-09-25T17:01:45+0300
3595505,,2025-11-15T11:00:00+0300,2025-11-15T13:00:00+0300,Бизнес,Илья Шведков,Санкт-Петербург,,,https://shvedkov.timepad.ru/event/3595505/,2025-09-25T17:01:45+0300
3595506,,2025-11-22T11:00:00+0300,2025-11-22T13:00:00+0300,Бизнес,Илья Шведков,Санкт-Петербург,,,https://shvedkov.timepad.ru/event/3595506/,2025-09-25T17:01:46+0300
3595507,,2025-11-29T11:00:00+0300,2025-11-29T13:00:00+0300,Бизнес,Илья Шведков,Санкт-Петербург,,,https://shvedkov.timepad.ru/event/3595507/,2025-09-25T17:01:46+0300
3596840,,2025-11-20T10:00:00+0300,2025-11-20T12:00:00+0300,Бизнес,Коммерсантъ СПБ ,Санкт-Петербург,,,https://kommersant-spb.timepad.ru/event/3596840/,2025-09-26T12:23:37+0300
3608445,,2025-11-15T12:00:00+0300,2025-11-16T20:00:00+0300,Бизнес,Портал GEOMETRIA,Санкт-Петербург,,,https://geometria-spb.timepad.ru/event/3608445/,2025-10-03T01:25:06+0300
3608780,,2025-11-25T10:00:00+0300,2025-11-28T15:30:00+0300,Бизнес,Учебный центр Хлебник,Санкт-Петербург,,,https://uchebnyy-tsentr-khl-event.timepad.ru/event/3608780/,2025-10-03T12:12:03+0300
3610147,,2025-11-04T16:00:00+0300,2025-11-04T18:00:00+0300,Бизнес,Kofcheg,Санкт-Петербург,,,https://kofcheg.timepad.ru/event/3610147/,2025-10-04T12:58:09+0300
